zip,"md, r","md, sb_c","md, dif in %","fd, r","fd, sb_c","fd, dif in %","td, sb_gr","td, sb_gc","td, sb_c","td, dif in %"
10001.0,206.0,204.0,0.98,194.0,216.0,10.73,400.0,420.0,444.0,6.96
10002.0,948.0,1048.0,10.02,1025.0,1121.0,8.95,1973.0,2169.0,2174.0,6.36
10003.0,314.0,352.0,11.41,328.0,375.0,13.37,642.0,727.0,741.0,9.38
10004.0,11.0,0.0,200.0,9.0,0.0,200.0,20.0,0.0,11.0,129.03
10005.0,18.0,6.0,100.0,,0.0,,,6.0,7.0,23.08
10006.0,7.0,0.0,200.0,,0.0,,,0.0,0.0,
10007.0,18.0,6.0,100.0,15.0,5.0,100.0,33.0,11.0,24.0,64.71
10009.0,485.0,534.0,9.62,567.0,619.0,8.77,1052.0,1153.0,1173.0,7.16
10010.0,229.0,230.0,0.44,252.0,262.0,3.89,481.0,492.0,537.0,7.42
10011.0,376.0,413.0,9.38,331.0,372.0,11.66,707.0,785.0,804.0,8.45
10012.0,117.0,101.0,14.68,134.0,121.0,10.2,251.0,222.0,264.0,11.4
10013.0,207.0,220.0,6.09,218.0,227.0,4.04,425.0,447.0,470.0,6.71
10014.0,206.0,210.0,1.92,170.0,172.0,1.17,376.0,382.0,412.0,6.15
10016.0,368.0,397.0,7.58,319.0,346.0,8.12,687.0,743.0,756.0,6.31
10017.0,92.0,72.0,24.39,117.0,114.0,2.6,209.0,186.0,226.0,12.88
10018.0,33.0,24.0,31.58,30.0,16.0,60.87,63.0,40.0,44.0,31.29
10019.0,333.0,355.0,6.4,318.0,347.0,8.72,651.0,702.0,717.0,6.38
10021.0,413.0,436.0,5.42,497.0,548.0,9.76,910.0,984.0,1013.0,7.09
10022.0,346.0,384.0,10.41,362.0,394.0,8.47,708.0,778.0,810.0,8.89
10023.0,524.0,575.0,9.28,562.0,635.0,12.2,1086.0,1210.0,1219.0,7.57
10024.0,591.0,657.0,10.58,593.0,669.0,12.04,1184.0,1326.0,1339.0,8.05
10025.0,973.0,1076.0,10.05,1071.0,1179.0,9.6,2044.0,2255.0,2267.0,6.79
10026.0,285.0,297.0,4.12,350.0,393.0,11.57,635.0,690.0,713.0,7.65
10027.0,547.0,605.0,10.07,533.0,588.0,9.81,1080.0,1193.0,1211.0,7.52
10028.0,356.0,396.0,10.64,365.0,413.0,12.34,721.0,809.0,830.0,9.24
10029.0,848.0,924.0,8.58,946.0,1024.0,7.92,1794.0,1948.0,1949.0,5.45
10030.0,309.0,319.0,3.18,289.0,314.0,8.29,598.0,633.0,645.0,5.01
10031.0,470.0,507.0,7.57,470.0,509.0,7.97,940.0,1016.0,1034.0,6.29
10032.0,504.0,554.0,9.45,489.0,540.0,9.91,993.0,1094.0,1107.0,7.14
10033.0,390.0,422.0,7.88,411.0,443.0,7.49,801.0,865.0,883.0,6.43
10034.0,270.0,283.0,4.7,255.0,258.0,1.17,525.0,541.0,571.0,5.62
10035.0,438.0,481.0,9.36,457.0,508.0,10.57,895.0,989.0,1009.0,7.88
10036.0,269.0,290.0,7.51,161.0,179.0,10.59,430.0,469.0,494.0,9.19
10037.0,273.0,286.0,4.65,316.0,339.0,7.02,589.0,625.0,660.0,7.58
10038.0,199.0,204.0,2.48,223.0,243.0,8.58,422.0,447.0,468.0,6.88
10039.0,296.0,311.0,4.94,371.0,409.0,9.74,667.0,720.0,750.0,7.77
10040.0,366.0,382.0,4.28,458.0,485.0,5.73,824.0,867.0,885.0,4.74
10044.0,161.0,159.0,1.25,124.0,107.0,14.72,285.0,266.0,283.0,4.56
10065.0,266.0,267.0,0.38,321.0,359.0,11.18,587.0,626.0,654.0,7.18
10069.0,21.0,14.0,40.0,24.0,12.0,66.67,45.0,26.0,35.0,35.85
10075.0,219.0,211.0,3.72,262.0,272.0,3.75,481.0,483.0,516.0,4.73
10128.0,424.0,474.0,11.14,483.0,540.0,11.14,907.0,1014.0,1019.0,7.62
10162.0,8.0,0.0,200.0,18.0,5.0,113.04,26.0,5.0,16.0,89.36
10165.0,,0.0,,,0.0,,,0.0,0.0,
10280.0,38.0,26.0,37.5,25.0,18.0,32.56,63.0,44.0,46.0,24.84
10282.0,42.0,35.0,18.18,56.0,38.0,38.3,98.0,73.0,86.0,19.46
10301.0,506.0,541.0,6.69,523.0,574.0,9.3,1029.0,1115.0,1128.0,6.05
10302.0,213.0,218.0,2.32,168.0,174.0,3.51,381.0,392.0,412.0,5.23
10303.0,246.0,254.0,3.2,189.0,192.0,1.57,435.0,446.0,467.0,4.75
10304.0,540.0,584.0,7.83,583.0,638.0,9.01,1123.0,1222.0,1230.0,5.99
10305.0,446.0,496.0,10.62,475.0,542.0,13.18,921.0,1038.0,1071.0,9.9
10306.0,742.0,831.0,11.32,791.0,882.0,10.88,1533.0,1713.0,1718.0,7.45
10307.0,131.0,125.0,4.69,119.0,125.0,4.92,250.0,250.0,267.0,4.43
10308.0,374.0,402.0,7.22,354.0,406.0,13.68,728.0,808.0,823.0,8.05
10309.0,302.0,312.0,3.26,310.0,340.0,9.23,612.0,652.0,684.0,7.39
10310.0,227.0,228.0,0.44,236.0,247.0,4.55,463.0,475.0,500.0,5.15
10312.0,670.0,755.0,11.93,594.0,673.0,12.47,1264.0,1428.0,1435.0,8.29
10314.0,943.0,1050.0,10.74,1111.0,1223.0,9.6,2054.0,2273.0,2280.0,6.84
10451.0,505.0,558.0,9.97,523.0,579.0,10.16,1028.0,1137.0,1150.0,7.36
10452.0,603.0,646.0,6.89,509.0,564.0,10.25,1112.0,1210.0,1222.0,6.21
10453.0,645.0,705.0,8.89,600.0,645.0,7.23,1245.0,1350.0,1373.0,6.45
10454.0,433.0,466.0,7.34,358.0,382.0,6.49,791.0,848.0,872.0,6.45
10455.0,431.0,461.0,6.73,345.0,357.0,3.42,776.0,818.0,844.0,5.58
10456.0,927.0,1013.0,8.87,826.0,912.0,9.9,1753.0,1925.0,1934.0,6.45
10457.0,706.0,777.0,9.58,568.0,628.0,10.03,1274.0,1405.0,1412.0,6.75
10458.0,622.0,687.0,9.93,522.0,572.0,9.14,1144.0,1259.0,1269.0,6.81
10459.0,524.0,572.0,8.76,388.0,420.0,7.92,912.0,992.0,1006.0,6.46
10460.0,521.0,567.0,8.46,461.0,504.0,8.91,982.0,1071.0,1087.0,6.69
10461.0,556.0,627.0,12.0,510.0,558.0,8.99,1066.0,1185.0,1193.0,7.38
10462.0,653.0,707.0,7.94,685.0,751.0,9.19,1338.0,1458.0,1473.0,6.32
10463.0,914.0,1009.0,9.88,999.0,1080.0,7.79,1913.0,2089.0,2101.0,6.16
10464.0,68.0,53.0,24.79,54.0,40.0,29.79,122.0,93.0,105.0,18.12
10465.0,505.0,551.0,8.71,591.0,659.0,10.88,1096.0,1210.0,1219.0,6.98
10466.0,590.0,653.0,10.14,657.0,723.0,9.57,1247.0,1376.0,1392.0,7.22
10467.0,1018.0,1129.0,10.34,969.0,1060.0,8.97,1987.0,2189.0,2199.0,6.65
10468.0,655.0,716.0,8.9,652.0,693.0,6.1,1307.0,1409.0,1426.0,5.75
10469.0,873.0,952.0,8.66,862.0,942.0,8.87,1735.0,1894.0,1904.0,6.11
10470.0,137.0,132.0,3.72,133.0,136.0,2.23,270.0,268.0,293.0,6.02
10471.0,381.0,405.0,6.11,515.0,540.0,4.74,896.0,945.0,961.0,4.64
10472.0,579.0,628.0,8.12,554.0,606.0,8.97,1133.0,1234.0,1253.0,6.63
10473.0,625.0,696.0,10.75,632.0,702.0,10.49,1257.0,1398.0,1409.0,7.48
10474.0,103.0,86.0,17.99,74.0,60.0,20.9,177.0,146.0,165.0,12.7
10475.0,548.0,597.0,8.56,673.0,746.0,10.29,1221.0,1343.0,1360.0,7.08
11001.0,33.0,23.0,35.71,37.0,23.0,46.67,70.0,46.0,50.0,28.92
11004.0,112.0,92.0,19.61,132.0,119.0,10.36,244.0,211.0,243.0,9.46
11005.0,69.0,57.0,19.05,140.0,148.0,5.56,209.0,205.0,217.0,3.8
11040.0,43.0,34.0,23.38,69.0,58.0,17.32,112.0,92.0,96.0,13.33
11101.0,190.0,197.0,3.62,189.0,189.0,0.0,379.0,386.0,405.0,4.44
11102.0,258.0,263.0,1.92,290.0,299.0,3.06,548.0,562.0,592.0,5.17
11103.0,252.0,270.0,6.9,230.0,238.0,3.42,482.0,508.0,528.0,6.06
11104.0,201.0,197.0,2.01,172.0,176.0,2.3,373.0,373.0,399.0,4.54
11105.0,301.0,319.0,5.81,276.0,297.0,7.33,577.0,616.0,627.0,5.49
11106.0,304.0,330.0,8.2,344.0,377.0,9.15,648.0,707.0,721.0,7.03
11109.0,13.0,5.0,88.89,13.0,0.0,200.0,26.0,5.0,19.0,84.0
11201.0,440.0,484.0,9.52,414.0,466.0,11.82,854.0,950.0,962.0,7.81
11203.0,825.0,936.0,12.61,859.0,953.0,10.38,1684.0,1889.0,1899.0,7.86
11204.0,710.0,802.0,12.17,655.0,727.0,10.42,1365.0,1529.0,1532.0,7.55
11205.0,268.0,284.0,5.8,284.0,298.0,4.81,552.0,582.0,609.0,6.54
11206.0,647.0,721.0,10.82,747.0,825.0,9.92,1394.0,1546.0,1553.0,7.08
11207.0,906.0,1009.0,10.76,878.0,975.0,10.47,1784.0,1984.0,1996.0,7.36
11208.0,844.0,923.0,8.94,652.0,714.0,9.08,1496.0,1637.0,1639.0,5.99
11209.0,661.0,746.0,12.08,716.0,818.0,13.3,1377.0,1564.0,1571.0,8.6
11210.0,464.0,492.0,5.86,511.0,568.0,10.57,975.0,1060.0,1088.0,7.24
11211.0,373.0,399.0,6.74,378.0,413.0,8.85,751.0,812.0,827.0,6.36
11212.0,888.0,968.0,8.62,1018.0,1126.0,10.07,1906.0,2094.0,2102.0,6.42
11213.0,641.0,706.0,9.65,631.0,693.0,9.37,1272.0,1399.0,1408.0,6.67
11214.0,874.0,968.0,10.21,981.0,1085.0,10.07,1855.0,2053.0,2059.0,6.84
11215.0,332.0,362.0,8.65,362.0,399.0,9.72,694.0,761.0,775.0,7.26
11216.0,443.0,487.0,9.46,496.0,539.0,8.31,939.0,1026.0,1042.0,6.85
11217.0,268.0,283.0,5.44,292.0,315.0,7.58,560.0,598.0,608.0,5.44
11218.0,504.0,576.0,13.33,507.0,565.0,10.82,1011.0,1141.0,1152.0,8.54
11219.0,587.0,663.0,12.16,687.0,768.0,11.13,1274.0,1431.0,1441.0,8.06
11220.0,733.0,814.0,10.47,582.0,651.0,11.19,1315.0,1465.0,1470.0,7.29
11221.0,658.0,715.0,8.3,646.0,707.0,9.02,1304.0,1422.0,1438.0,6.44
11222.0,239.0,251.0,4.9,221.0,229.0,3.56,460.0,480.0,512.0,7.16
11223.0,747.0,837.0,11.36,780.0,868.0,10.68,1527.0,1705.0,1711.0,7.44
11224.0,857.0,938.0,9.03,913.0,987.0,7.79,1770.0,1925.0,1941.0,6.07
11225.0,464.0,515.0,10.42,561.0,631.0,11.74,1025.0,1146.0,1161.0,8.16
11226.0,785.0,868.0,10.04,884.0,980.0,10.3,1669.0,1848.0,1857.0,7.0
11228.0,369.0,405.0,9.3,432.0,472.0,8.85,801.0,877.0,897.0,7.46
11229.0,904.0,1011.0,11.17,950.0,1057.0,10.66,1854.0,2068.0,2079.0,7.5
11230.0,857.0,935.0,8.71,921.0,1014.0,9.61,1778.0,1949.0,1956.0,6.26
11231.0,282.0,301.0,6.52,275.0,300.0,8.7,557.0,601.0,611.0,6.11
11232.0,151.0,139.0,8.28,111.0,97.0,13.46,262.0,236.0,271.0,9.1
11233.0,676.0,737.0,8.63,687.0,767.0,11.0,1363.0,1504.0,1514.0,6.89
11234.0,846.0,946.0,11.16,987.0,1114.0,12.09,1833.0,2060.0,2068.0,7.88
11235.0,1182.0,1308.0,10.12,1436.0,1565.0,8.6,2618.0,2873.0,2877.0,6.19
11236.0,814.0,904.0,10.48,981.0,1095.0,10.98,1795.0,1999.0,2013.0,7.51
11237.0,273.0,297.0,8.42,228.0,238.0,4.29,501.0,535.0,550.0,6.18
11238.0,397.0,426.0,7.05,467.0,503.0,7.42,864.0,929.0,956.0,6.69
11239.0,277.0,292.0,5.27,389.0,414.0,6.23,666.0,706.0,724.0,5.53
11249.0,157.0,146.0,7.26,180.0,185.0,2.74,337.0,331.0,361.0,5.83
11354.0,667.0,737.0,9.97,768.0,830.0,7.76,1435.0,1567.0,1581.0,6.37
11355.0,728.0,814.0,11.15,659.0,732.0,10.5,1387.0,1546.0,1560.0,7.7
11356.0,188.0,201.0,6.68,137.0,126.0,8.37,325.0,327.0,351.0,5.18
11357.0,422.0,463.0,9.27,452.0,507.0,11.47,874.0,970.0,989.0,8.12
11358.0,296.0,320.0,7.79,296.0,327.0,9.95,592.0,647.0,662.0,7.36
11360.0,192.0,179.0,7.01,242.0,261.0,7.55,434.0,440.0,472.0,5.65
11361.0,237.0,250.0,5.34,297.0,314.0,5.56,534.0,564.0,585.0,6.06
